Tile_Name,R_mean,R_std,R_min,R_max,G_mean,G_std,G_min,G_max,B_mean,B_std,B_min,B_max,Gray_mean,Gray_std,Gray_min,Gray_max,Edge_mean,Edge_std,Texture_contrast,Texture_energy,Texture_homogeneity,Texture_correlation,Area,Perimeter,Compactness,Hist_R,Hist_G,Hist_B,Saturation_mean,Brightness_mean,target
image_1335,216.6195,29.9012,14.0,255.0,233.5799,30.68,16.0,255.0,239.8944,28.6675,29.0,255.0,229.2286,29.9345,16.884,254.701,8.6217,16.3841,896.0729,0.8219,0.0987,0.9743,3966.0,62.9762,1.0,30.0,25.0,15.0,25.0,239.0,1
image_1329,108.4159,40.1772,4.0,255.0,114.0746,41.8752,2.0,255.0,128.5444,40.8418,22.0,255.0,114.0322,40.7959,6.274,255.0,12.9721,17.4843,1664.3049,0.2256,0.0845,0.9747,4677.0,68.3886,1.0,25.0,25.0,24.0,40.0,128.0,1
image_1328,127.5277,36.8164,2.0,255.0,131.1817,39.7215,8.0,255.0,142.7904,38.2536,30.0,255.0,131.4125,38.549,8.714,254.103,11.9127,13.7382,1486.0274,0.2884,0.0912,0.9896,6793.0,82.4197,1.0,36.0,36.0,33.0,27.0,142.0,1
image_1327,168.7281,31.0381,20.0,252.0,171.1648,33.4774,25.0,255.0,175.7151,32.0917,44.0,255.0,170.955,32.5141,25.671,253.206,12.5328,13.1615,1057.1661,0.4657,0.0616,0.9934,4230.0,65.0385,1.0,52.0,59.0,57.0,10.0,175.0,1
image_1326,106.1366,38.5388,12.0,200.0,107.574,36.5754,12.0,204.0,99.8569,44.3601,0.0,207.0,106.2645,37.5939,17.773,203.146,15.537,17.8238,1413.3007,0.1954,0.0663,0.9867,1230.0,35.0714,1.0,62.0,56.75,73.0,19.0,107.0,1
image_1325,112.0451,27.1152,15.0,200.0,106.3186,23.5644,3.0,188.0,106.6281,28.379,0.0,194.0,108.0661,24.0767,6.246,188.983,9.6416,10.3808,579.6859,0.1885,0.1132,0.9279,11560.0,107.5174,1.0,38.0,29.0,28.0,14.0,112.0,1
image_1323,123.066,36.191,30.0,255.0,122.765,37.1666,31.0,255.0,130.2523,36.4402,34.0,255.0,123.7086,36.5308,31.271,254.701,12.7682,12.9005,1334.4989,0.2559,0.0693,0.9736,7878.0,88.7581,1.0,57.0,62.0,61.0,16.0,130.0,1
image_1322,147.1683,28.1263,39.0,255.0,148.4395,29.2356,40.0,255.0,156.1809,27.3196,45.0,255.0,148.9419,28.3655,40.271,254.701,13.0042,13.7394,804.6027,0.3535,0.0981,0.9484,3975.0,63.0476,1.0,35.0,39.0,37.0,15.0,156.0,1
image_1320,159.1199,38.291,38.0,254.0,172.7415,37.9123,41.0,255.0,186.6448,38.3489,50.0,255.0,170.2536,36.5905,41.129,254.701,16.5847,13.437,1338.8682,0.4664,0.0828,0.8618,6197.0,78.721,1.0,54.0,50.0,46.0,37.0,186.0,1
image_1318,198.5942,34.8425,53.0,255.0,199.1395,34.8484,49.0,255.0,203.3934,33.2288,65.0,255.0,199.4614,34.4466,52.134,255.0,21.4928,16.5867,1186.5659,0.6301,0.0803,0.9812,9992.0,99.96,1.0,50.0,50.0,49.0,6.0,203.0,1
image_1317,167.1006,15.3725,121.0,251.0,172.7486,14.5697,132.0,254.0,179.2402,14.9466,138.0,255.0,171.7999,14.8055,129.395,253.217,11.7716,12.342,219.2033,0.4573,0.1738,0.9883,179.0,13.3791,1.0,14.0,14.0,15.5,17.0,179.0,1
image_1316,158.5404,50.8548,20.0,252.0,161.5796,48.5393,30.0,255.0,171.453,44.1443,49.0,255.0,161.7965,48.677,29.86,254.103,16.5352,15.7284,2369.4491,0.439,0.0542,0.9975,5740.0,75.7628,1.0,78.0,75.25,69.0,19.0,171.0,1
image_1314,131.1652,35.1633,38.0,255.0,127.3125,35.9694,21.0,255.0,134.3474,34.5835,28.0,255.0,129.2665,34.968,31.665,255.0,10.6275,11.3227,1222.7593,0.2758,0.0936,0.9526,21837.0,147.7735,1.0,46.0,42.0,43.0,13.0,134.0,1
image_1313,93.2285,25.4531,22.0,255.0,86.8961,25.921,17.0,252.0,97.812,24.6008,33.0,255.0,90.0339,25.4678,20.917,252.94,10.0087,12.1016,648.607,0.1346,0.1154,0.9772,2994.0,54.7175,1.0,26.0,27.0,26.0,29.0,97.0,1
image_1312,208.843,24.0506,82.0,255.0,208.2775,24.3197,81.0,255.0,212.0801,23.5802,95.0,255.0,208.88,24.1009,82.895,255.0,22.142,15.3365,580.8546,0.6799,0.1078,0.9934,2923.0,54.0648,1.0,33.0,34.0,34.0,5.0,212.0,1
image_1311,133.1111,7.3778,121.0,145.0,124.2778,7.3546,113.0,134.0,129.9444,8.4424,115.0,142.0,127.5649,7.3479,116.891,138.201,12.0114,5.6437,53.9913,0.2511,0.1787,0.9619,18.0,4.2426,1.0,14.0,14.25,15.75,17.0,133.0,1
image_87,177.1372,33.7646,56.0,251.0,183.8147,32.5118,66.0,254.0,188.7013,31.4162,75.0,255.0,182.3752,32.7299,64.036,252.918,10.8786,14.3958,1071.2466,0.528,0.0807,0.9971,1560.0,39.4968,1.0,47.25,46.0,44.25,15.0,188.0,1
image_85,234.1422,12.6101,174.0,255.0,233.1755,12.7299,171.0,253.0,228.6868,12.0668,162.0,247.0,232.9528,12.5753,170.871,252.8,5.607,7.6135,158.1391,0.837,0.2061,0.9925,661.0,25.7099,1.0,12.0,13.0,13.0,7.0,234.0,1
