Tile_Name,Classes_Present,Utility_class,Water_Body_Pt_class,RCC_Building_class,Utility_Poly_class,Tiled_class,Road_class,Tin_class,Water_Body_class,Utility_R_mean,Utility_R_std,Utility_R_min,Utility_R_max,Utility_G_mean,Utility_G_std,Utility_G_min,Utility_G_max,Utility_B_mean,Utility_B_std,Utility_B_min,Utility_B_max,Utility_Gray_mean,Utility_Gray_std,Utility_Gray_min,Utility_Gray_max,Utility_Edge_mean,Utility_Edge_std,Utility_Texture_contrast,Utility_Texture_energy,Utility_Texture_homogeneity,Utility_Texture_correlation,Utility_Area,Utility_Perimeter,Utility_Compactness,Utility_Hist_R,Utility_Hist_G,Utility_Hist_B,Utility_Saturation_mean,Utility_Brightness_mean,Water_Body_Pt_R_mean,Water_Body_Pt_R_std,Water_Body_Pt_R_min,Water_Body_Pt_R_max,Water_Body_Pt_G_mean,Water_Body_Pt_G_std,Water_Body_Pt_G_min,Water_Body_Pt_G_max,Water_Body_Pt_B_mean,Water_Body_Pt_B_std,Water_Body_Pt_B_min,Water_Body_Pt_B_max,Water_Body_Pt_Gray_mean,Water_Body_Pt_Gray_std,Water_Body_Pt_Gray_min,Water_Body_Pt_Gray_max,Water_Body_Pt_Edge_mean,Water_Body_Pt_Edge_std,Water_Body_Pt_Texture_contrast,Water_Body_Pt_Texture_energy,Water_Body_Pt_Texture_homogeneity,Water_Body_Pt_Texture_correlation,Water_Body_Pt_Area,Water_Body_Pt_Perimeter,Water_Body_Pt_Compactness,Water_Body_Pt_Hist_R,Water_Body_Pt_Hist_G,Water_Body_Pt_Hist_B,Water_Body_Pt_Saturation_mean,Water_Body_Pt_Brightness_mean,RCC_Building_R_mean,RCC_Building_R_std,RCC_Building_R_min,RCC_Building_R_max,RCC_Building_G_mean,RCC_Building_G_std,RCC_Building_G_min,RCC_Building_G_max,RCC_Building_B_mean,RCC_Building_B_std,RCC_Building_B_min,RCC_Building_B_max,RCC_Building_Gray_mean,RCC_Building_Gray_std,RCC_Building_Gray_min,RCC_Building_Gray_max,RCC_Building_Edge_mean,RCC_Building_Edge_std,RCC_Building_Texture_contrast,RCC_Building_Texture_energy,RCC_Building_Texture_homogeneity,RCC_Building_Texture_correlation,RCC_Building_Area,RCC_Building_Perimeter,RCC_Building_Compactness,RCC_Building_Hist_R,RCC_Building_Hist_G,RCC_Building_Hist_B,RCC_Building_Saturation_mean,RCC_Building_Brightness_mean,Utility_Poly_R_mean,Utility_Poly_R_std,Utility_Poly_R_min,Utility_Poly_R_max,Utility_Poly_G_mean,Utility_Poly_G_std,Utility_Poly_G_min,Utility_Poly_G_max,Utility_Poly_B_mean,Utility_Poly_B_std,Utility_Poly_B_min,Utility_Poly_B_max,Utility_Poly_Gray_mean,Utility_Poly_Gray_std,Utility_Poly_Gray_min,Utility_Poly_Gray_max,Utility_Poly_Edge_mean,Utility_Poly_Edge_std,Utility_Poly_Texture_contrast,Utility_Poly_Texture_energy,Utility_Poly_Texture_homogeneity,Utility_Poly_Texture_correlation,Utility_Poly_Area,Utility_Poly_Perimeter,Utility_Poly_Compactness,Utility_Poly_Hist_R,Utility_Poly_Hist_G,Utility_Poly_Hist_B,Utility_Poly_Saturation_mean,Utility_Poly_Brightness_mean,Tiled_R_mean,Tiled_R_std,Tiled_R_min,Tiled_R_max,Tiled_G_mean,Tiled_G_std,Tiled_G_min,Tiled_G_max,Tiled_B_mean,Tiled_B_std,Tiled_B_min,Tiled_B_max,Tiled_Gray_mean,Tiled_Gray_std,Tiled_Gray_min,Tiled_Gray_max,Tiled_Edge_mean,Tiled_Edge_std,Tiled_Texture_contrast,Tiled_Texture_energy,Tiled_Texture_homogeneity,Tiled_Texture_correlation,Tiled_Area,Tiled_Perimeter,Tiled_Compactness,Tiled_Hist_R,Tiled_Hist_G,Tiled_Hist_B,Tiled_Saturation_mean,Tiled_Brightness_mean,Road_R_mean,Road_R_std,Road_R_min,Road_R_max,Road_G_mean,Road_G_std,Road_G_min,Road_G_max,Road_B_mean,Road_B_std,Road_B_min,Road_B_max,Road_Gray_mean,Road_Gray_std,Road_Gray_min,Road_Gray_max,Road_Edge_mean,Road_Edge_std,Road_Texture_contrast,Road_Texture_energy,Road_Texture_homogeneity,Road_Texture_correlation,Road_Area,Road_Perimeter,Road_Compactness,Road_Hist_R,Road_Hist_G,Road_Hist_B,Road_Saturation_mean,Road_Brightness_mean,Tin_R_mean,Tin_R_std,Tin_R_min,Tin_R_max,Tin_G_mean,Tin_G_std,Tin_G_min,Tin_G_max,Tin_B_mean,Tin_B_std,Tin_B_min,Tin_B_max,Tin_Gray_mean,Tin_Gray_std,Tin_Gray_min,Tin_Gray_max,Tin_Edge_mean,Tin_Edge_std,Tin_Texture_contrast,Tin_Texture_energy,Tin_Texture_homogeneity,Tin_Texture_correlation,Tin_Area,Tin_Perimeter,Tin_Compactness,Tin_Hist_R,Tin_Hist_G,Tin_Hist_B,Tin_Saturation_mean,Tin_Brightness_mean,Water_Body_R_mean,Water_Body_R_std,Water_Body_R_min,Water_Body_R_max,Water_Body_G_mean,Water_Body_G_std,Water_Body_G_min,Water_Body_G_max,Water_Body_B_mean,Water_Body_B_std,Water_Body_B_min,Water_Body_B_max,Water_Body_Gray_mean,Water_Body_Gray_std,Water_Body_Gray_min,Water_Body_Gray_max,Water_Body_Edge_mean,Water_Body_Edge_std,Water_Body_Texture_contrast,Water_Body_Texture_energy,Water_Body_Texture_homogeneity,Water_Body_Texture_correlation,Water_Body_Area,Water_Body_Perimeter,Water_Body_Compactness,Water_Body_Hist_R,Water_Body_Hist_G,Water_Body_Hist_B,Water_Body_Saturation_mean,Water_Body_Brightness_mean
image_0,80,0,0,1,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.9228,56.3653,0.0,255.0,141.2125,55.1642,0.0,255.0,145.4772,52.3038,0.0,255.0,141.014,54.8686,2.663,255.0,11.5766,16.3385,3010.5633,0.3521,0.0545,0.9837,15646.0,125.084,1.0,90.0,84.0,77.0,12.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.4253,31.9278,42.0,235.0,146.5712,32.1077,51.0,235.0,153.6169,30.2932,60.0,233.0,146.1348,31.6047,49.335,234.772,18.6881,22.1721,998.86,0.3438,0.089,0.9747,569.0,23.8537,1.0,41.0,31.0,25.0,18.0,153.0,155.4765,47.0702,33.0,237.0,156.6115,45.7648,42.0,240.0,161.148,40.5971,59.0,239.0,156.7893,45.5018,41.247,238.305,16.9738,16.7198,2070.4147,0.4099,0.0515,0.9972,2237.0,47.2969,1.0,82.0,80.0,71.0,10.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_1,80,0,0,1,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.2841,45.5253,0.0,255.0,161.7801,45.2215,0.0,255.0,160.3631,45.8826,0.0,255.0,162.0683,44.9917,0.228,255.0,10.1429,14.4226,2024.2501,0.4351,0.0628,0.979,21262.0,145.815,1.0,68.0,64.0,63.0,5.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.5313,35.3612,3.0,225.0,176.8253,30.7402,0.0,218.0,170.7365,32.6408,0.0,208.0,176.9403,32.1715,1.196,218.953,7.587,12.7806,1035.0051,0.4974,0.0924,0.9886,687.0,26.2107,1.0,40.5,34.0,27.0,13.0,179.0,179.768,42.2289,1.0,255.0,176.9231,42.2379,0.0,246.0,174.5295,42.1693,0.0,242.0,177.5009,42.0166,0.299,248.121,22.1041,19.8769,1765.3983,0.5117,0.0639,0.9835,3643.0,60.3573,1.0,60.0,62.0,65.0,7.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_2,24,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.5064,47.4939,0.0,255.0,163.4768,48.0384,2.0,255.0,162.4118,47.4144,6.0,255.0,163.6632,47.578,2.428,255.0,12.9245,17.8772,2263.6688,0.4467,0.0624,0.9884,26717.0,163.4534,1.0,70.0,73.0,75.0,3.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.9478,44.1049,0.0,234.0,154.021,40.4897,0.0,231.0,157.0952,40.1961,0.0,248.0,152.5556,41.2025,0.0,230.153,12.8388,22.0097,1697.6454,0.384,0.091,0.9805,2048.0,45.2548,1.0,60.0,45.25,36.0,16.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_3,35,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.9228,5.2097,130.0,167.0,168.4653,6.4485,144.0,184.0,179.402,8.3219,145.0,193.0,165.3639,6.1204,139.928,179.829,2.9188,2.8628,37.4591,0.4211,0.289,0.9023,505.0,22.4722,1.0,5.0,7.0,9.0,37.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.6148,24.4174,0.0,235.0,146.2422,27.2355,1.0,246.0,87.4173,15.959,0.0,250.0,129.4816,24.4196,1.043,243.167,6.2891,9.9468,596.318,0.267,0.0885,0.9648,39744.0,199.359,1.0,30.0,31.0,11.0,103.0,146.0
image_4,8,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.5401,11.6767,26.0,226.0,154.4144,13.2683,56.0,249.0,86.7603,10.5455,6.0,203.0,136.2744,12.3404,43.091,236.879,2.9421,4.8457,152.2863,0.2879,0.2183,0.9674,43501.0,208.5689,1.0,11.0,11.0,11.0,113.0,154.0
image_5,8,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.446,17.7769,29.0,182.0,155.3087,20.8301,58.0,209.0,86.5283,15.838,12.0,154.0,137.3428,19.2416,44.085,194.657,5.2508,7.5528,370.2393,0.2958,0.11,0.9855,15023.0,122.5683,1.0,18.0,22.0,16.0,114.0,155.0
image_6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_7,1,1,0,0,0,0,0,0,0,128.7879,34.8831,67.0,184.0,138.9091,34.362,79.0,197.0,99.1212,38.6199,29.0,153.0,131.347,34.9588,69.712,187.869,30.2443,26.8121,1222.1152,0.2841,0.0812,0.998,33.0,5.7446,1.0,52.0,47.0,63.0,72.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_8,24,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.2862,23.455,69.0,187.0,128.3448,22.4054,64.0,183.0,128.5791,19.7846,70.0,178.0,128.952,22.3487,66.179,183.099,12.5057,12.2251,499.463,0.2634,0.1174,0.9941,1195.0,34.5688,1.0,30.0,29.0,27.0,4.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.68,4.7872,206.0,239.0,196.26,4.4534,181.0,206.0,169.03,5.6186,154.0,192.0,202.8494,3.9742,185.967,211.152,3.6985,3.1027,15.7946,0.633,0.37,0.5217,100.0,10.0,1.0,6.0,5.0,6.0,66.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
image_9,3,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0167,51.7295,46.0,255.0,180.1615,52.1196,52.0,255.0,184.1125,50.938,68.0,255.0,179.3726,51.6736,52.03,255.0,9.9222,14.8281,2670.1646,0.5359,0.0474,0.9876,5225.0,72.2842,1.0,87.0,93.0,95.0,11.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
